"Time,""ID"",""AssetType"",""ProductionVolumeMWh"",""ProductionVolumeNoDerateMWh"""
"2022-03,""058e5e90-e32b-44e4-9148-631f38bc9231"",""WindFarm"",2128.1,2164.88"
"2022-04,""058e5e90-e32b-44e4-9148-631f38bc9231"",""WindFarm"",2950.75,3030.85"
"2022-05,""058e5e90-e32b-44e4-9148-631f38bc9231"",""WindFarm"",1965.96,2022.33"
"2022-03,""073fd94b-6b77-4cc0-9c4d-21e2ab476b3c"",""WindFarm"",379.13,387.86"
"2022-04,""073fd94b-6b77-4cc0-9c4d-21e2ab476b3c"",""WindFarm"",486.38,496.97"
"2022-05,""073fd94b-6b77-4cc0-9c4d-21e2ab476b3c"",""WindFarm"",251.6,267.15"
"2022-03,""09043765-1424-4495-8a8a-5d513169c63b"",""WindFarm"",433.17,435.41"
"2022-04,""09043765-1424-4495-8a8a-5d513169c63b"",""WindFarm"",573.54,573.54"
"2022-05,""09043765-1424-4495-8a8a-5d513169c63b"",""WindFarm"",425.56,425.56"
"2022-03,""0c76c802-c430-4ac9-8e6b-4d578680d089"",""WindFarm"",1530.32,1530.32"
"2022-04,""0c76c802-c430-4ac9-8e6b-4d578680d089"",""WindFarm"",1902.75,1902.75"
"2022-05,""0c76c802-c430-4ac9-8e6b-4d578680d089"",""WindFarm"",1295.37,1361.88"
"2022-03,""0e92d438-130d-4026-93b6-b19e2e4fa59a"",""WindFarm"",1861.79,1870.23"
"2022-04,""0e92d438-130d-4026-93b6-b19e2e4fa59a"",""WindFarm"",2266.17,2328.99"
"2022-05,""0e92d438-130d-4026-93b6-b19e2e4fa59a"",""WindFarm"",1705.64,1707.89"
"2022-03,""0f5295bf-953b-49b7-a909-88528ab7e87c"",""WindFarm"",2182.49,2752.89"
"2022-04,""0f5295bf-953b-49b7-a909-88528ab7e87c"",""WindFarm"",3467.39,3622.56"
"2022-05,""0f5295bf-953b-49b7-a909-88528ab7e87c"",""WindFarm"",2480.99,2526.56"
"2022-03,""115d9369-7679-4683-b99e-51f9ecf1b998"",""WindFarm"",8141.75,9418.47"
"2022-04,""115d9369-7679-4683-b99e-51f9ecf1b998"",""WindFarm"",8681.64,11724.55"
"2022-05,""115d9369-7679-4683-b99e-51f9ecf1b998"",""WindFarm"",6103.85,8529.3"
"2022-03,""11a983fd-ca6b-450b-8582-e0eb8eb5fddb"",""WindFarm"",569.45,569.45"
"2022-04,""11a983fd-ca6b-450b-8582-e0eb8eb5fddb"",""WindFarm"",744.64,791.56"
"2022-05,""11a983fd-ca6b-450b-8582-e0eb8eb5fddb"",""WindFarm"",543.41,545.73"
"2022-03,""15ca5966-3c0f-47bb-b887-c5315048a07a"",""WindFarm"",859.37,863.83"
"2022-04,""15ca5966-3c0f-47bb-b887-c5315048a07a"",""WindFarm"",1051.39,1075.14"
